epoch,elapsed_seconds,total_successes,throughput_ops_per_sec,cumulative_errors
1786136540.000,5.0,10000,1996.0,0
1786136545.000,10.0,30000,3998.7,0
1786136550.000,15.0,50000,3997.1,0
1786136555.000,20.0,61000,2199.9,0
1786136560.000,25.0,80000,3799.4,0
1786136565.000,30.0,100000,3999.5,0
1786136570.000,35.0,110000,1999.8,0
1786136575.000,40.0,130000,3999.3,0
1786136580.000,45.0,150000,3999.0,0
1786136585.000,50.0,166000,3199.3,0
1786136590.000,55.0,180000,2799.6,0
1786136595.000,60.0,199000,3798.8,0
1786136600.000,65.0,216000,3398.9,0
1786136605.000,70.0,230000,2798.4,0
1786136610.000,75.0,250000,3999.3,0
1786136615.000,80.0,267000,3399.8,0
1786136620.000,85.0,281000,2799.7,0
1786136625.000,90.0,298000,3399.7,0
1786136630.000,95.0,315000,3399.3,0
1786136635.000,100.0,331000,3199.5,0
1786136640.000,105.0,349000,3599.7,0
1786136645.000,110.0,368000,3799.5,0
1786136650.000,115.0,381000,2599.7,0
1786136655.000,120.0,400000,3799.9,0
1786136660.000,125.0,416000,3199.8,0
1786136665.000,130.0,431000,2998.6,0
1786136670.000,135.0,450000,3798.7,0
1786136675.000,140.0,468000,3599.4,0
1786136680.000,145.0,483000,2999.2,0
1786136685.000,150.0,500000,3399.6,0
1786136690.000,155.0,520000,3997.1,0
1786136695.100,160.1,539000,3783.2,0
1786136700.100,165.1,553000,2799.5,0
1786136705.100,170.1,570000,3397.4,0
1786136710.100,175.1,590000,3999.1,0
1786136715.100,180.1,608000,3599.7,0
1786136720.100,185.1,620000,2399.2,0
1786136725.100,190.1,640000,3980.1,0
1786136730.100,195.1,654000,2799.5,0
1786136735.100,200.1,670000,3198.5,0
1786136740.100,205.1,688000,3597.3,0
1786136745.100,210.1,703000,2999.4,0
1786136750.100,215.1,720000,3399.9,0
1786136755.100,220.1,733000,2599.7,0
1786136760.100,225.1,750000,3399.5,0
1786136765.100,230.1,768000,3598.8,0
1786136770.100,235.1,785000,3399.7,0
1786136775.100,240.1,800989,3197.7,11
1786136780.100,245.1,818989,3598.6,11
1786136785.100,250.1,836989,3599.1,11
1786136790.100,255.1,850989,2799.5,11
1786136795.100,260.1,866989,3199.6,11
1786136800.100,265.1,881989,2999.7,11
1786136805.100,270.1,900989,3799.8,11
1786136810.100,275.1,918989,3598.2,11
1786136815.100,280.1,936989,3598.9,11
1786136820.100,285.1,951989,2998.8,11
1786136825.100,290.1,969989,3599.7,11
1786136830.100,295.1,987989,3599.0,11
1786136835.100,300.1,1004989,3399.0,11
1786136840.100,305.1,1019989,2999.6,11
1786136845.100,310.1,1038989,3799.8,11
1786136850.100,315.1,1054989,3199.6,11
1786136855.100,320.1,1071989,3399.9,11
1786136860.100,325.1,1088989,3399.0,11
1786136865.100,330.1,1107989,3798.7,11
1786136870.100,335.1,1123989,3199.5,11
1786136875.100,340.1,1139989,3199.2,11
1786136880.100,345.1,1158989,3799.5,11
1786136885.100,350.1,1177989,3799.4,11
1786136890.100,355.1,1190989,2599.7,11
1786136895.100,360.1,1208989,3599.0,11
1786136900.100,365.1,1227989,3798.0,11
1786136905.100,370.1,1244989,3399.5,11
1786136910.100,375.1,1258989,2798.8,11
1786136915.100,380.1,1278989,3999.5,11
1786136920.100,385.1,1297989,3798.9,11
1786136925.100,390.1,1309989,2399.4,11
1786136930.100,395.1,1327989,3597.9,11
1786136935.100,400.1,1343989,3199.9,11
1786136940.100,405.1,1358989,2999.4,11
1786136945.100,410.1,1377989,3799.8,11
1786136950.100,415.1,1395989,3599.5,11
1786136955.200,420.2,1409989,2799.6,11
1786136960.200,425.2,1427989,3599.4,11
1786136965.200,430.2,1442989,2999.0,11
1786136970.200,435.2,1458989,3199.9,11
1786136975.200,440.2,1476989,3599.7,11
1786136980.200,445.2,1489989,2598.9,11
1786136985.200,450.2,1507989,3599.5,11
1786136990.200,455.2,1525989,3599.9,11
1786136995.200,460.2,1538989,2595.9,11
1786137000.200,465.2,1557989,3799.3,11
1786137005.200,470.2,1569989,2399.8,11
1786137010.200,475.2,1588989,3774.4,11
1786137015.200,480.2,1607989,3798.1,11
1786137020.200,485.2,1624989,3399.4,11
1786137025.200,490.2,1638989,2799.7,11
1786137030.200,495.2,1656989,3598.4,11
1786137035.200,500.2,1670989,2799.3,11
1786137040.200,505.2,1687989,3398.9,11
1786137045.200,510.2,1702989,2999.9,11
1786137050.200,515.2,1719989,3399.1,11
1786137055.200,520.2,1737989,3598.3,11
1786137060.200,525.2,1751989,2799.6,11
1786137065.200,530.2,1767989,3199.3,11
1786137070.200,535.2,1783989,3199.9,11
1786137075.200,540.2,1797989,2799.0,11
1786137080.200,545.2,1814989,3398.9,11
1786137085.200,550.2,1829989,2999.9,11
1786137090.200,555.2,1847989,3599.1,11
1786137095.200,560.2,1862989,2998.8,11
1786137100.200,565.2,1877989,2999.5,11
1786137105.200,570.2,1894989,3399.4,11
1786137110.200,575.2,1910989,3199.2,11
1786137115.200,580.2,1927989,3399.6,11
1786137120.200,585.2,1941989,2799.7,11
1786137125.200,590.2,1957989,3199.0,11
1786137130.200,595.2,1974989,3399.5,11
1786137135.000,600.0,1994482,4082.6,11
